date,salesperson,lead_name,segment,region,target_close,forecasted_monthly_revenue,opportunity_stage,weighted_revenue,closed_opportunity,active_opportunity,latest_status_entry
2011-03-21,Gerri Hinds,US_Startup_333,Startup,US,2011-04-30,527108,Lead,52711,FALSE,FALSE,FALSE
2011-03-23,David King,EMEA_SMB_862,SMB,EMEA,2011-03-23,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-03-24,Jennifer Weidman,US_Startup_228,Startup,US,2011-04-23,532191,Lead,53219,FALSE,FALSE,FALSE
2011-03-24,Gerri Hinds,US_SMB_2345,SMB,US,2011-04-22,119886,Lead,11989,FALSE,FALSE,FALSE
2011-03-25,James Swanger,US_Enterprise_1466,Enterprise,US,2011-03-25,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-03-26,James Swanger,US_Enterprise_233,Enterprise,US,2011-05-07,286131,Prospect,57226,FALSE,FALSE,FALSE
2011-03-26,James Swanger,US_SMB_484,SMB,US,2011-04-20,93661,Lead,9366,FALSE,FALSE,FALSE
2011-03-28,Gerri Hinds,US_SMB_2129,SMB,US,2011-03-28,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-03-28,Walter Landfair,APAC_Enterprise_681,Enterprise,APAC,2011-09-17,521403,Lead,52140,FALSE,FALSE,FALSE
2011-03-29,Jennifer Weidman,US_Startup_264,Startup,US,2011-03-29,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-03-29,Anne Smith,US_SMB_2502,SMB,US,2011-05-03,130110,Lead,13011,FALSE,FALSE,TRUE
2011-03-30,Gerri Hinds,US_Startup_501,Startup,US,2011-03-30,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-03-30,Victor Burk,EMEA_Startup_12,Startup,EMEA,2011-04-29,518816,Lead,51882,FALSE,FALSE,FALSE
2011-03-31,Anne Smith,US_Startup_625,Startup,US,2011-04-20,716734,Lead,71673,FALSE,FALSE,FALSE
2011-04-01,James Swanger,US_Enterprise_735,Enterprise,US,2011-04-01,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-04-02,James Swanger,US_Enterprise_1386,Enterprise,US,2011-07-10,461411,Lead,46141,FALSE,FALSE,FALSE
2011-04-05,David King,EMEA_Enterprise_773,Enterprise,EMEA,2011-08-22,458378,Lead,45838,FALSE,FALSE,FALSE
2011-04-06,David King,EMEA_SMB_1071,SMB,EMEA,2011-04-06,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-04-09,David King,EMEA_Enterprise_405,Enterprise,EMEA,2011-04-09,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-04-10,Jennifer Weidman,US_SMB_1872,SMB,US,2011-06-07,118703,Lead,11870,FALSE,FALSE,FALSE
2011-04-11,James Swanger,US_SMB_2513,SMB,US,2011-04-11,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-04-14,James Swanger,US_Enterprise_233,Enterprise,US,2011-04-14,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-04-16,Anne Smith,US_SMB_127,SMB,US,2011-05-20,104886,Lead,10489,FALSE,FALSE,FALSE
2011-04-20,Gerri Hinds,US_Startup_333,Startup,US,2011-04-20,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-04-21,David King,EMEA_SMB_117,SMB,EMEA,2011-04-21,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-04-22,Victor Burk,EMEA_Startup_12,Startup,EMEA,2011-04-22,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-04-22,James Swanger,US_SMB_484,SMB,US,2011-04-22,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-04-23,Gerri Hinds,US_Enterprise_899,Enterprise,US,2011-07-27,467253,Lead,46725,FALSE,FALSE,FALSE
2011-04-25,Anne Smith,US_SMB_1420,SMB,US,2011-06-05,144700,Lead,14470,FALSE,FALSE,FALSE
2011-04-25,Victor Burk,EMEA_SMB_1119,SMB,EMEA,2011-05-18,94699,Lead,9470,FALSE,FALSE,FALSE
2011-04-25,Gerri Hinds,US_SMB_2345,SMB,US,2011-04-25,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-04-26,Jennifer Weidman,US_Startup_228,Startup,US,2011-05-12,443493,Qualified,221746,FALSE,FALSE,FALSE
2011-04-26,Anne Smith,US_Startup_625,Startup,US,2011-04-26,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-04-27,Gerri Hinds,US_SMB_2709,SMB,US,2011-06-05,107371,Lead,10737,FALSE,FALSE,FALSE
2011-04-27,James Swanger,US_Startup_60,Startup,US,2011-05-23,605780,Lead,60578,FALSE,FALSE,FALSE
2011-04-27,James Swanger,US_Startup_558,Startup,US,2011-05-26,574551,Lead,57455,FALSE,FALSE,FALSE
2011-04-27,Gerri Hinds,US_SMB_2550,SMB,US,2011-06-06,133585,Lead,13359,FALSE,FALSE,FALSE
2011-04-28,Gerri Hinds,US_Enterprise_639,Enterprise,US,2011-08-22,469688,Lead,46969,FALSE,FALSE,FALSE
2011-04-28,James Swanger,US_SMB_662,SMB,US,2011-04-28,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-04-29,Anne Smith,US_SMB_3165,SMB,US,2011-05-29,105535,Lead,10554,FALSE,FALSE,FALSE
2011-04-30,Jennifer Weidman,US_Startup_287,Startup,US,2011-05-23,730327,Lead,73033,FALSE,FALSE,FALSE
2011-04-30,Gerri Hinds,US_Enterprise_602,Enterprise,US,2011-08-01,339680,Lead,33968,FALSE,FALSE,FALSE
2011-05-01,Walter Landfair,APAC_Startup_137,Startup,APAC,2011-06-17,583349,Lead,58335,FALSE,FALSE,FALSE
2011-05-02,James Swanger,US_Enterprise_71,Enterprise,US,2011-07-12,395078,Lead,39508,FALSE,FALSE,FALSE
2011-05-02,Jennifer Weidman,US_Startup_228,Startup,US,2011-05-02,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-05-04,Victor Burk,EMEA_SMB_27,SMB,EMEA,2011-05-04,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-05-04,Victor Burk,EMEA_Enterprise_726,Enterprise,EMEA,2011-08-04,417242,Lead,41724,FALSE,FALSE,FALSE
2011-05-05,Victor Burk,EMEA_SMB_745,SMB,EMEA,2011-06-28,126582,Lead,12658,FALSE,FALSE,FALSE
2011-05-06,Anne Smith,US_Enterprise_1022,Enterprise,US,2011-08-21,521208,Lead,52121,FALSE,FALSE,FALSE
2011-05-08,Jennifer Weidman,US_Enterprise_902,Enterprise,US,2011-07-29,630345,Lead,63034,FALSE,FALSE,FALSE
2011-05-08,James Swanger,US_SMB_1692,SMB,US,2011-06-17,102837,Lead,10284,FALSE,FALSE,FALSE
2011-05-08,Victor Burk,EMEA_SMB_619,SMB,EMEA,2011-06-20,132137,Lead,13214,FALSE,FALSE,FALSE
2011-05-11,James Swanger,US_Enterprise_46,Enterprise,US,2011-08-15,375699,Lead,37570,FALSE,FALSE,FALSE
2011-05-13,Jennifer Weidman,US_Enterprise_1097,Enterprise,US,2011-05-13,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-05-14,David King,EMEA_SMB_1361,SMB,EMEA,2011-05-14,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-05-15,Anne Smith,US_SMB_3022,SMB,US,2011-06-15,115434,Lead,11543,FALSE,FALSE,FALSE
2011-05-15,Victor Burk,EMEA_Startup_181,Startup,EMEA,2011-06-21,641417,Lead,64142,FALSE,FALSE,TRUE
2011-05-17,James Swanger,US_Startup_60,Startup,US,2011-05-17,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-05-17,Jennifer Weidman,US_Startup_287,Startup,US,2011-05-17,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-05-19,Walter Landfair,APAC_SMB_549,SMB,APAC,2011-07-19,147565,Lead,14756,FALSE,FALSE,FALSE
2011-05-20,Walter Landfair,APAC_SMB_477,SMB,APAC,2011-07-07,125980,Lead,12598,FALSE,FALSE,FALSE
2011-05-21,Victor Burk,EMEA_SMB_1119,SMB,EMEA,2011-05-21,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-05-23,Victor Burk,EMEA_Enterprise_367,Enterprise,EMEA,2011-08-27,428492,Lead,42849,FALSE,FALSE,FALSE
2011-05-24,Anne Smith,US_SMB_127,SMB,US,2011-05-24,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-05-26,James Swanger,US_Startup_158,Startup,US,2011-07-05,688152,Lead,68815,FALSE,FALSE,FALSE
2011-05-26,Anne Smith,US_SMB_2502,SMB,US,2011-06-20,86740,Qualified,43370,FALSE,FALSE,FALSE
2011-05-27,Walter Landfair,APAC_Enterprise_600,Enterprise,APAC,2011-10-04,453232,Prospect,90646,FALSE,FALSE,FALSE
2011-05-27,Anne Smith,US_SMB_793,SMB,US,2011-06-29,126155,Lead,12616,FALSE,FALSE,FALSE
2011-05-29,David King,EMEA_Enterprise_48,Enterprise,EMEA,2011-09-19,447407,Lead,44741,FALSE,FALSE,FALSE
2011-05-29,Anne Smith,US_SMB_1275,SMB,US,2011-05-29,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-05-29,James Swanger,US_Startup_558,Startup,US,2011-06-14,478793,Qualified,239396,FALSE,FALSE,FALSE
2011-05-30,David King,EMEA_SMB_927,SMB,EMEA,2011-07-01,113998,Lead,11400,FALSE,FALSE,FALSE
2011-05-30,Anne Smith,US_SMB_573,SMB,US,2011-07-16,64601,Lead,6460,FALSE,FALSE,FALSE
2011-05-31,Gerri Hinds,US_SMB_1990,SMB,US,2011-07-03,108102,Lead,10810,FALSE,FALSE,FALSE
2011-06-02,David King,EMEA_SMB_855,SMB,EMEA,2011-07-11,127737,Lead,12774,FALSE,FALSE,FALSE
2011-06-03,David King,EMEA_Enterprise_791,Enterprise,EMEA,2011-09-05,414357,Lead,41436,FALSE,FALSE,FALSE
2011-06-03,Anne Smith,US_SMB_2085,SMB,US,2011-07-13,90488,Lead,9049,FALSE,FALSE,FALSE
2011-06-05,Anne Smith,US_SMB_2502,SMB,US,2011-06-28,69970,Contracting,55976,FALSE,FALSE,FALSE
2011-06-05,Walter Landfair,APAC_Startup_137,Startup,APAC,2011-06-05,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-06-05,James Swanger,US_SMB_2330,SMB,US,2011-07-11,82113,Lead,8211,FALSE,FALSE,FALSE
2011-06-07,James Swanger,US_Enterprise_1386,Enterprise,US,2011-06-07,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-06-08,Gerri Hinds,US_Enterprise_633,Enterprise,US,2011-08-21,496246,Lead,49625,FALSE,FALSE,FALSE
2011-06-09,Anne Smith,US_SMB_1420,SMB,US,2011-06-09,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-06-09,Gerri Hinds,US_SMB_2709,SMB,US,2011-06-09,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-06-10,James Swanger,US_SMB_1106,SMB,US,2011-07-30,128163,Lead,12816,FALSE,FALSE,FALSE
2011-06-10,Gerri Hinds,US_SMB_2550,SMB,US,2011-06-10,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-06-11,Jennifer Weidman,US_SMB_1842,SMB,US,2011-07-17,93423,Lead,9342,FALSE,FALSE,FALSE
2011-06-11,James Swanger,US_Enterprise_824,Enterprise,US,2011-08-06,409004,Lead,40900,FALSE,FALSE,FALSE
2011-06-13,Jennifer Weidman,US_SMB_1872,SMB,US,2011-06-13,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-06-14,Anne Smith,US_SMB_2488,SMB,US,2011-07-23,124088,Lead,12409,FALSE,FALSE,FALSE
2011-06-15,Gerri Hinds,US_Startup_603,Startup,US,2011-07-28,687296,Lead,68730,FALSE,FALSE,FALSE
2011-06-15,Victor Burk,EMEA_Enterprise_345,Enterprise,EMEA,2011-09-17,464075,Lead,46408,FALSE,FALSE,FALSE
2011-06-16,Walter Landfair,APAC_Enterprise_88,Enterprise,APAC,2011-10-25,513293,Lead,51329,FALSE,FALSE,FALSE
2011-06-16,James Swanger,US_SMB_194,SMB,US,2011-07-03,61904,Lead,6190,FALSE,FALSE,FALSE
2011-06-17,Walter Landfair,APAC_Enterprise_283,Enterprise,APAC,2012-01-26,522714,Lead,52271,FALSE,FALSE,FALSE
2011-06-17,Jennifer Weidman,US_Startup_671,Startup,US,2011-07-17,627256,Lead,62726,FALSE,FALSE,FALSE
2011-06-17,James Swanger,US_SMB_443,SMB,US,2011-07-22,68079,Lead,6808,FALSE,FALSE,FALSE
2011-06-18,James Swanger,US_Enterprise_71,Enterprise,US,2011-08-11,368739,Prospect,73748,FALSE,FALSE,FALSE
2011-06-18,Anne Smith,US_SMB_3022,SMB,US,2011-06-18,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-06-19,Anne Smith,US_SMB_3165,SMB,US,2011-06-19,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-06-19,Gerri Hinds,US_SMB_1785,SMB,US,2011-07-25,102528,Lead,10253,FALSE,FALSE,FALSE
2011-06-20,Walter Landfair,APAC_SMB_460,SMB,APAC,2011-08-30,110350,Lead,11035,FALSE,FALSE,FALSE
2011-06-20,James Swanger,US_Startup_558,Startup,US,2011-06-20,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-06-21,James Swanger,US_SMB_1692,SMB,US,2011-06-21,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-06-23,Anne Smith,US_Startup_808,Startup,US,2011-07-31,500839,Lead,50084,FALSE,FALSE,FALSE
2011-06-23,Anne Smith,US_SMB_1030,SMB,US,2011-07-20,135851,Lead,13585,FALSE,FALSE,FALSE
2011-06-23,James Swanger,US_Enterprise_133,Enterprise,US,2011-08-19,376350,Lead,37635,FALSE,FALSE,FALSE
2011-06-24,Anne Smith,US_SMB_2586,SMB,US,2011-07-21,67377,Lead,6738,FALSE,FALSE,FALSE
2011-06-25,Victor Burk,EMEA_SMB_619,SMB,EMEA,2011-06-25,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-06-25,James Swanger,US_Startup_158,Startup,US,2011-06-25,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-06-25,Victor Burk,EMEA_Startup_181,Startup,EMEA,2011-07-14,534514,Qualified,267257,FALSE,FALSE,TRUE
2011-06-25,Gerri Hinds,US_Enterprise_899,Enterprise,US,2011-06-25,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-06-29,Anne Smith,US_Enterprise_1103,Enterprise,US,2011-10-04,580327,Lead,58033,FALSE,FALSE,FALSE
2011-06-29,Walter Landfair,APAC_Enterprise_701,Enterprise,APAC,2011-12-29,388020,Lead,38802,FALSE,FALSE,FALSE
2011-07-01,Gerri Hinds,US_Enterprise_602,Enterprise,US,2011-07-01,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-01,James Swanger,US_SMB_1479,SMB,US,2011-08-13,94757,Lead,9476,FALSE,FALSE,FALSE
2011-07-02,Jennifer Weidman,US_Enterprise_902,Enterprise,US,2011-07-02,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-03,Anne Smith,US_SMB_793,SMB,US,2011-07-03,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-03,Anne Smith,US_SMB_2502,SMB,US,2011-07-03,57827,Closed Won,57827,TRUE,FALSE,TRUE
2011-07-04,Walter Landfair,APAC_Enterprise_226,Enterprise,APAC,2011-10-02,431642,Lead,43164,FALSE,FALSE,FALSE
2011-07-04,Victor Burk,EMEA_SMB_745,SMB,EMEA,2011-07-04,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-04,Victor Burk,EMEA_Enterprise_726,Enterprise,EMEA,2011-07-04,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-05,James Swanger,US_Startup_153,Startup,US,2011-08-14,758575,Lead,75857,FALSE,FALSE,FALSE
2011-07-05,David King,EMEA_SMB_927,SMB,EMEA,2011-07-05,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-05,James Swanger,US_SMB_194,SMB,US,2011-07-05,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-06,Jennifer Weidman,US_Startup_993,Startup,US,2011-08-13,669577,Lead,66958,FALSE,FALSE,TRUE
2011-07-06,Walter Landfair,APAC_SMB_247,SMB,APAC,2011-09-24,115489,Lead,11549,FALSE,FALSE,FALSE
2011-07-07,Anne Smith,US_SMB_133,SMB,US,2011-08-13,115078,Lead,11508,FALSE,FALSE,FALSE
2011-07-07,David King,EMEA_Enterprise_773,Enterprise,EMEA,2011-10-19,427819,Prospect,85564,FALSE,FALSE,FALSE
2011-07-07,Gerri Hinds,US_SMB_1990,SMB,US,2011-07-07,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-11,Gerri Hinds,US_Enterprise_1349,Enterprise,US,2011-11-05,312617,Lead,31262,FALSE,FALSE,FALSE
2011-07-11,James Swanger,US_Enterprise_1446,Enterprise,US,2011-11-09,449501,Lead,44950,FALSE,FALSE,FALSE
2011-07-12,James Swanger,US_Enterprise_71,Enterprise,US,2011-07-12,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-13,Walter Landfair,APAC_SMB_477,SMB,APAC,2011-07-13,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-13,Walter Landfair,APAC_Enterprise_136,Enterprise,APAC,2011-07-13,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-13,Anne Smith,US_SMB_2434,SMB,US,2011-08-19,113721,Lead,11372,FALSE,FALSE,FALSE
2011-07-14,Walter Landfair,APAC_SMB_18,SMB,APAC,2011-09-18,150062,Lead,15006,FALSE,FALSE,FALSE
2011-07-14,James Swanger,US_Enterprise_46,Enterprise,US,2011-07-14,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-14,Gerri Hinds,US_Enterprise_639,Enterprise,US,2011-07-14,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-15,James Swanger,US_Startup_194,Startup,US,2011-08-19,363442,Lead,36344,FALSE,FALSE,FALSE
2011-07-15,David King,EMEA_SMB_855,SMB,EMEA,2011-07-15,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-16,James Swanger,US_SMB_2330,SMB,US,2011-07-16,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-16,Victor Burk,EMEA_SMB_84,SMB,EMEA,2011-09-04,77696,Lead,7770,FALSE,FALSE,FALSE
2011-07-16,Anne Smith,US_Enterprise_1022,Enterprise,US,2011-07-16,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-17,Gerri Hinds,US_Startup_603,Startup,US,2011-08-18,641477,Prospect,128295,FALSE,FALSE,FALSE
2011-07-17,Anne Smith,US_SMB_2085,SMB,US,2011-07-17,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-18,James Swanger,US_Enterprise_824,Enterprise,US,2011-07-18,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-19,James Swanger,US_Enterprise_1496,Enterprise,US,2011-09-11,576772,Lead,57677,FALSE,FALSE,FALSE
2011-07-20,Walter Landfair,APAC_Startup_4,Startup,APAC,2011-09-23,597739,Lead,59774,FALSE,FALSE,FALSE
2011-07-20,Victor Burk,EMEA_SMB_348,SMB,EMEA,2011-08-07,112100,Lead,11210,FALSE,FALSE,FALSE
2011-07-20,Jennifer Weidman,US_Startup_671,Startup,US,2011-07-20,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-21,Anne Smith,US_SMB_573,SMB,US,2011-07-21,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-21,Jennifer Weidman,US_SMB_1842,SMB,US,2011-08-22,81381,Prospect,16276,FALSE,FALSE,FALSE
2011-07-21,Gerri Hinds,US_SMB_2436,SMB,US,2011-09-01,72386,Lead,7239,FALSE,FALSE,FALSE
2011-07-21,Anne Smith,US_Startup_808,Startup,US,2011-08-19,467449,Prospect,93490,FALSE,FALSE,FALSE
2011-07-21,Walter Landfair,APAC_Enterprise_681,Enterprise,APAC,2011-11-27,486643,Prospect,97329,FALSE,FALSE,FALSE
2011-07-22,Victor Burk,EMEA_Startup_181,Startup,EMEA,2011-07-22,427611,Closed Won,427611,TRUE,FALSE,TRUE
2011-07-22,Jennifer Weidman,US_Startup_513,Startup,US,2011-07-22,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-22,Anne Smith,US_SMB_1030,SMB,US,2011-08-14,118342,Prospect,23668,FALSE,FALSE,FALSE
2011-07-23,Victor Burk,EMEA_SMB_553,SMB,EMEA,2011-09-10,93038,Lead,9304,FALSE,FALSE,FALSE
2011-07-24,Walter Landfair,APAC_Enterprise_600,Enterprise,APAC,2011-07-24,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-24,James Swanger,US_SMB_1460,SMB,US,2011-08-28,114303,Lead,11430,FALSE,FALSE,FALSE
2011-07-24,Anne Smith,US_SMB_2586,SMB,US,2011-07-24,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-25,James Swanger,US_SMB_467,SMB,US,2011-08-29,106910,Lead,10691,FALSE,FALSE,FALSE
2011-07-25,Victor Burk,EMEA_SMB_915,SMB,EMEA,2011-09-22,111420,Lead,11142,FALSE,FALSE,FALSE
2011-07-26,Walter Landfair,APAC_SMB_549,SMB,APAC,2011-07-26,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-26,Victor Burk,EMEA_Enterprise_367,Enterprise,EMEA,2011-07-26,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-26,James Swanger,US_SMB_443,SMB,US,2011-07-26,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-27,Victor Burk,EMEA_Enterprise_652,Enterprise,EMEA,2011-11-19,541223,Lead,54122,FALSE,FALSE,FALSE
2011-07-27,Anne Smith,US_SMB_2488,SMB,US,2011-07-27,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-27,Gerri Hinds,US_Enterprise_633,Enterprise,US,2011-07-27,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-28,Walter Landfair,APAC_Enterprise_171,Enterprise,APAC,2011-12-07,337679,Lead,33768,FALSE,FALSE,FALSE
2011-07-28,David King,EMEA_Enterprise_262,Enterprise,EMEA,2011-11-08,514708,Lead,51471,FALSE,FALSE,FALSE
2011-07-29,Gerri Hinds,US_SMB_1785,SMB,US,2011-07-29,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-30,Gerri Hinds,US_SMB_247,SMB,US,2011-07-30,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-07-31,James Swanger,US_Enterprise_133,Enterprise,US,2011-07-31,0,Closed Lost,0,TRUE,FALSE,TRUE
2011-08-01,Walter Landfair,APAC_Enterprise_146,Enterprise,APAC,2012-01-11,422525,Lead,42252,FALSE,FALSE,FALSE
2011-08-01,Gerri Hinds,US_SMB_2959,SMB,US,2011-09-01,134213,Lead,13421,FALSE,FALSE,FALSE
